FlightID,RouteCode,Origin,Destination,FlightDate,FlightDurationMins,AircraftType,SeatsAvailable,SeatsSold,Revenue,OperationalCost
27,RT0027,Dubai,Tokyo,2025-01-28 00:00:00,540,Airbus A350,230,200,90500.0,57000.0
28,RT0028,Singapore,Mumbai,2025-01-29 00:00:00,600,Boeing 737,270,235,92000.0,58000.0
29,RT0029,Paris,New York,2025-01-30 00:00:00,660,Boeing 787,310,270,93500.0,59000.0
30,RT0030,Berlin,Delhi,2025-01-31 00:00:00,120,Airbus A320,150,130,95000.0,60000.0
31,RT0031,New York,London,2025-02-01 00:00:00,180,Boeing 777,190,165,96500.0,61000.0
32,RT0032,Mumbai,Dubai,2025-02-02 00:00:00,240,Airbus A320,230,200,98000.0,62000.0
33,RT0033,London,Paris,2025-02-03 00:00:00,300,Boeing 737,270,235,99500.0,63000.0
34,RT0034,Sydney,Singapore,2025-02-04 00:00:00,360,Airbus A350,310,270,101000.0,64000.0
35,RT0035,Delhi,Bangkok,2025-02-05 00:00:00,420,Boeing 787,150,130,102500.0,65000.0
36,RT0036,Toronto,Berlin,2025-02-06 00:00:00,480,Boeing 777,190,165,104000.0,66000.0
37,RT0037,Dubai,Tokyo,2025-02-07 00:00:00,540,Airbus A350,230,200,105500.0,67000.0
38,RT0038,Singapore,Mumbai,2025-02-08 00:00:00,600,Boeing 737,270,235,107000.0,68000.0
39,RT0039,Paris,New York,2025-02-09 00:00:00,660,Boeing 787,310,270,108500.0,69000.0
40,RT0040,Berlin,Delhi,2025-02-10 00:00:00,120,Airbus A320,150,130,110000.0,70000.0
41,RT0041,New York,London,2025-02-11 00:00:00,180,Boeing 777,190,165,111500.0,71000.0
42,RT0042,Mumbai,Dubai,2025-02-12 00:00:00,240,Airbus A320,230,200,113000.0,72000.0
43,RT0043,London,Paris,2025-02-13 00:00:00,300,Boeing 737,270,235,114500.0,73000.0
44,RT0044,Sydney,Singapore,2025-02-14 00:00:00,360,Airbus A350,310,270,116000.0,74000.0
45,RT0045,Delhi,Bangkok,2025-02-15 00:00:00,420,Boeing 787,150,130,117500.0,75000.0
46,RT0046,Toronto,Berlin,2025-02-16 00:00:00,480,Boeing 777,190,165,119000.0,76000.0
47,RT0047,Dubai,Tokyo,2025-02-17 00:00:00,540,Airbus A350,230,200,120500.0,77000.0
48,RT0048,Singapore,Mumbai,2025-02-18 00:00:00,600,Boeing 737,270,235,122000.0,78000.0
49,RT0049,Paris,New York,2025-02-19 00:00:00,660,Boeing 787,310,270,123500.0,79000.0
50,RT0050,Berlin,Delhi,2025-02-20 00:00:00,120,Airbus A320,150,130,125000.0,80000.0
51,RT0051,New York,London,2025-02-21 00:00:00,180,Boeing 777,190,165,126500.0,81000.0
52,RT0052,Mumbai,Dubai,2025-02-22 00:00:00,240,Airbus A320,230,200,128000.0,82000.0
53,RT0053,London,Paris,2025-02-23 00:00:00,300,Boeing 737,270,235,129500.0,83000.0
54,RT0054,Sydney,Singapore,2025-02-24 00:00:00,360,Airbus A350,310,270,131000.0,84000.0
55,RT0055,Delhi,Bangkok,2025-02-25 00:00:00,420,Boeing 787,150,130,132500.0,85000.0
56,RT0056,Toronto,Berlin,2025-02-26 00:00:00,480,Boeing 777,190,165,134000.0,86000.0
57,RT0057,Dubai,Tokyo,2025-02-27 00:00:00,540,Airbus A350,230,200,135500.0,87000.0
58,RT0058,Singapore,Mumbai,2025-02-28 00:00:00,600,Boeing 737,270,235,137000.0,88000.0
59,RT0059,Paris,New York,2025-03-01 00:00:00,660,Boeing 787,310,270,138500.0,89000.0
60,RT0060,Berlin,Delhi,2025-03-02 00:00:00,120,Airbus A320,150,130,140000.0,90000.0
61,RT0061,New York,London,2025-03-03 00:00:00,180,Boeing 777,190,165,141500.0,91000.0
62,RT0062,Mumbai,Dubai,2025-03-04 00:00:00,240,Airbus A320,230,200,143000.0,92000.0
63,RT0063,London,Paris,2025-03-05 00:00:00,300,Boeing 737,270,235,144500.0,93000.0
64,RT0064,Sydney,Singapore,2025-03-06 00:00:00,360,Airbus A350,310,270,146000.0,94000.0
65,RT0065,Delhi,Bangkok,2025-03-07 00:00:00,420,Boeing 787,150,130,147500.0,95000.0
66,RT0066,Toronto,Berlin,2025-03-08 00:00:00,480,Boeing 777,190,165,149000.0,96000.0
67,RT0067,Dubai,Tokyo,2025-03-09 00:00:00,540,Airbus A350,230,200,150500.0,97000.0
68,RT0068,Singapore,Mumbai,2025-03-10 00:00:00,600,Boeing 737,270,235,152000.0,98000.0
69,RT0069,Paris,New York,2025-03-11 00:00:00,660,Boeing 787,310,270,153500.0,99000.0
70,RT0070,Berlin,Delhi,2025-03-12 00:00:00,120,Airbus A320,150,130,155000.0,100000.0
71,RT0071,New York,London,2025-03-13 00:00:00,180,Boeing 777,190,165,156500.0,101000.0
72,RT0072,Mumbai,Dubai,2025-03-14 00:00:00,240,Airbus A320,230,200,158000.0,102000.0
73,RT0073,London,Paris,2025-03-15 00:00:00,300,Boeing 737,270,235,159500.0,103000.0
74,RT0074,Sydney,Singapore,2025-03-16 00:00:00,360,Airbus A350,310,270,161000.0,104000.0
75,RT0075,Delhi,Bangkok,2025-03-17 00:00:00,420,Boeing 787,150,130,162500.0,105000.0
76,RT0076,Toronto,Berlin,2025-03-18 00:00:00,480,Boeing 777,190,165,164000.0,106000.0
77,RT0077,Dubai,Tokyo,2025-03-19 00:00:00,540,Airbus A350,230,200,165500.0,107000.0
78,RT0078,Singapore,Mumbai,2025-03-20 00:00:00,600,Boeing 737,270,235,167000.0,108000.0
79,RT0079,Paris,New York,2025-03-21 00:00:00,660,Boeing 787,310,270,168500.0,109000.0
80,RT0080,Berlin,Delhi,2025-03-22 00:00:00,120,Airbus A320,150,130,170000.0,110000.0
81,RT0081,New York,London,2025-03-23 00:00:00,180,Boeing 777,190,165,171500.0,111000.0
82,RT0082,Mumbai,Dubai,2025-03-24 00:00:00,240,Airbus A320,230,200,173000.0,112000.0
83,RT0083,London,Paris,2025-03-25 00:00:00,300,Boeing 737,270,235,174500.0,113000.0
84,RT0084,Sydney,Singapore,2025-03-26 00:00:00,360,Airbus A350,310,270,176000.0,114000.0
85,RT0085,Delhi,Bangkok,2025-03-27 00:00:00,420,Boeing 787,150,130,177500.0,115000.0
86,RT0086,Toronto,Berlin,2025-03-28 00:00:00,480,Boeing 777,190,165,179000.0,116000.0
87,RT0087,Dubai,Tokyo,2025-03-29 00:00:00,540,Airbus A350,230,200,180500.0,117000.0
88,RT0088,Singapore,Mumbai,2025-03-30 00:00:00,600,Boeing 737,270,235,182000.0,118000.0
89,RT0089,Paris,New York,2025-03-31 00:00:00,660,Boeing 787,310,270,183500.0,119000.0
90,RT0090,Berlin,Delhi,2025-04-01 00:00:00,120,Airbus A320,150,130,185000.0,120000.0
91,RT0091,New York,London,2025-04-02 00:00:00,180,Boeing 777,190,165,186500.0,121000.0
92,RT0092,Mumbai,Dubai,2025-04-03 00:00:00,240,Airbus A320,230,200,188000.0,122000.0
93,RT0093,London,Paris,2025-04-04 00:00:00,300,Boeing 737,270,235,189500.0,123000.0
94,RT0094,Sydney,Singapore,2025-04-05 00:00:00,360,Airbus A350,310,270,191000.0,124000.0
95,RT0095,Delhi,Bangkok,2025-04-06 00:00:00,420,Boeing 787,150,130,192500.0,125000.0
96,RT0096,Toronto,Berlin,2025-04-07 00:00:00,480,Boeing 777,190,165,194000.0,126000.0
97,RT0097,Dubai,Tokyo,2025-04-08 00:00:00,540,Airbus A350,230,200,195500.0,127000.0
98,RT0098,Singapore,Mumbai,2025-04-09 00:00:00,600,Boeing 737,270,235,197000.0,128000.0
99,RT0099,Paris,New York,2025-04-10 00:00:00,660,Boeing 787,310,270,198500.0,129000.0
100,RT0100,Berlin,Delhi,2025-04-11 00:00:00,120,Airbus A320,150,130,200000.0,130000.0
101,RT0101,New York,London,2025-04-12 00:00:00,180,Boeing 777,190,165,201500.0,131000.0
102,RT0102,Mumbai,Dubai,2025-04-13 00:00:00,240,Airbus A320,230,200,203000.0,132000.0
103,RT0103,London,Paris,2025-04-14 00:00:00,300,Boeing 737,270,235,204500.0,133000.0
104,RT0104,Sydney,Singapore,2025-04-15 00:00:00,360,Airbus A350,310,270,206000.0,134000.0
105,RT0105,Delhi,Bangkok,2025-04-16 00:00:00,420,Boeing 787,150,130,207500.0,135000.0
106,RT0106,Toronto,Berlin,2025-04-17 00:00:00,480,Boeing 777,190,165,209000.0,136000.0
107,RT0107,Dubai,Tokyo,2025-04-18 00:00:00,540,Airbus A350,230,200,210500.0,137000.0
108,RT0108,Singapore,Mumbai,2025-04-19 00:00:00,600,Boeing 737,270,235,212000.0,138000.0
109,RT0109,Paris,New York,2025-04-20 00:00:00,660,Boeing 787,310,270,213500.0,139000.0
110,RT0110,Berlin,Delhi,2025-04-21 00:00:00,120,Airbus A320,150,130,215000.0,140000.0
111,RT0111,New York,London,2025-04-22 00:00:00,180,Boeing 777,190,165,216500.0,141000.0
112,RT0112,Mumbai,Dubai,2025-04-23 00:00:00,240,Airbus A320,230,200,218000.0,142000.0
113,RT0113,London,Paris,2025-04-24 00:00:00,300,Boeing 737,270,235,219500.0,143000.0
114,RT0114,Sydney,Singapore,2025-04-25 00:00:00,360,Airbus A350,310,270,221000.0,144000.0
115,RT0115,Delhi,Bangkok,2025-04-26 00:00:00,420,Boeing 787,150,130,222500.0,145000.0
116,RT0116,Toronto,Berlin,2025-04-27 00:00:00,480,Boeing 777,190,165,224000.0,146000.0
117,RT0117,Dubai,Tokyo,2025-04-28 00:00:00,540,Airbus A350,230,200,225500.0,147000.0
118,RT0118,Singapore,Mumbai,2025-04-29 00:00:00,600,Boeing 737,270,235,227000.0,148000.0
119,RT0119,Paris,New York,2025-04-30 00:00:00,660,Boeing 787,310,270,228500.0,149000.0
120,RT0120,Berlin,Delhi,2025-05-01 00:00:00,120,Airbus A320,150,130,230000.0,150000.0
121,RT0121,New York,London,2025-05-02 00:00:00,180,Boeing 777,190,165,231500.0,151000.0
122,RT0122,Mumbai,Dubai,2025-05-03 00:00:00,240,Airbus A320,230,200,233000.0,152000.0
123,RT0123,London,Paris,2025-05-04 00:00:00,300,Boeing 737,270,235,234500.0,153000.0
124,RT0124,Sydney,Singapore,2025-05-05 00:00:00,360,Airbus A350,310,270,236000.0,154000.0
125,RT0125,Delhi,Bangkok,2025-05-06 00:00:00,420,Boeing 787,150,130,237500.0,155000.0
126,RT0126,Toronto,Berlin,2025-05-07 00:00:00,480,Boeing 777,190,165,239000.0,156000.0
127,RT0127,Dubai,Tokyo,2025-05-08 00:00:00,540,Airbus A350,230,200,240500.0,157000.0
128,RT0128,Singapore,Mumbai,2025-05-09 00:00:00,600,Boeing 737,270,235,242000.0,158000.0
129,RT0129,Paris,New York,2025-05-10 00:00:00,660,Boeing 787,310,270,243500.0,159000.0
130,RT0130,Berlin,Delhi,2025-05-11 00:00:00,120,Airbus A320,150,130,245000.0,160000.0
131,RT0131,New York,London,2025-05-12 00:00:00,180,Boeing 777,190,165,246500.0,161000.0
132,RT0132,Mumbai,Dubai,2025-05-13 00:00:00,240,Airbus A320,230,200,248000.0,162000.0
133,RT0133,London,Paris,2025-05-14 00:00:00,300,Boeing 737,270,235,249500.0,163000.0
134,RT0134,Sydney,Singapore,2025-05-15 00:00:00,360,Airbus A350,310,270,251000.0,164000.0
135,RT0135,Delhi,Bangkok,2025-05-16 00:00:00,420,Boeing 787,150,130,252500.0,165000.0
136,RT0136,Toronto,Berlin,2025-05-17 00:00:00,480,Boeing 777,190,165,254000.0,166000.0
137,RT0137,Dubai,Tokyo,2025-05-18 00:00:00,540,Airbus A350,230,200,255500.0,167000.0
138,RT0138,Singapore,Mumbai,2025-05-19 00:00:00,600,Boeing 737,270,235,257000.0,168000.0
139,RT0139,Paris,New York,2025-05-20 00:00:00,660,Boeing 787,310,270,258500.0,169000.0
140,RT0140,Berlin,Delhi,2025-05-21 00:00:00,120,Airbus A320,150,130,260000.0,170000.0
141,RT0141,New York,London,2025-05-22 00:00:00,180,Boeing 777,190,165,261500.0,171000.0
142,RT0142,Mumbai,Dubai,2025-05-23 00:00:00,240,Airbus A320,230,200,263000.0,172000.0
143,RT0143,London,Paris,2025-05-24 00:00:00,300,Boeing 737,270,235,264500.0,173000.0
144,RT0144,Sydney,Singapore,2025-05-25 00:00:00,360,Airbus A350,310,270,266000.0,174000.0
145,RT0145,Delhi,Bangkok,2025-05-26 00:00:00,420,Boeing 787,150,130,267500.0,175000.0
146,RT0146,Toronto,Berlin,2025-05-27 00:00:00,480,Boeing 777,190,165,269000.0,176000.0
147,RT0147,Dubai,Tokyo,2025-05-28 00:00:00,540,Airbus A350,230,200,270500.0,177000.0
148,RT0148,Singapore,Mumbai,2025-05-29 00:00:00,600,Boeing 737,270,235,272000.0,178000.0
149,RT0149,Paris,New York,2025-05-30 00:00:00,660,Boeing 787,310,270,273500.0,179000.0
150,RT0150,Berlin,Delhi,2025-05-31 00:00:00,120,Airbus A320,150,130,275000.0,180000.0
151,RT0151,New York,London,2025-06-01 00:00:00,180,Boeing 777,190,165,276500.0,181000.0
152,RT0152,Mumbai,Dubai,2025-06-02 00:00:00,240,Airbus A320,230,200,278000.0,182000.0
153,RT0153,London,Paris,2025-06-03 00:00:00,300,Boeing 737,270,235,279500.0,183000.0
154,RT0154,Sydney,Singapore,2025-06-04 00:00:00,360,Airbus A350,310,270,281000.0,184000.0
155,RT0155,Delhi,Bangkok,2025-06-05 00:00:00,420,Boeing 787,150,130,282500.0,185000.0
156,RT0156,Toronto,Berlin,2025-06-06 00:00:00,480,Boeing 777,190,165,284000.0,186000.0
157,RT0157,Dubai,Tokyo,2025-06-07 00:00:00,540,Airbus A350,230,200,285500.0,187000.0
158,RT0158,Singapore,Mumbai,2025-06-08 00:00:00,600,Boeing 737,270,235,287000.0,188000.0
159,RT0159,Paris,New York,2025-06-09 00:00:00,660,Boeing 787,310,270,288500.0,189000.0
160,RT0160,Berlin,Delhi,2025-06-10 00:00:00,120,Airbus A320,150,130,290000.0,190000.0
161,RT0161,New York,London,2025-06-11 00:00:00,180,Boeing 777,190,165,291500.0,191000.0
162,RT0162,Mumbai,Dubai,2025-06-12 00:00:00,240,Airbus A320,230,200,293000.0,192000.0
163,RT0163,London,Paris,2025-06-13 00:00:00,300,Boeing 737,270,235,294500.0,193000.0
164,RT0164,Sydney,Singapore,2025-06-14 00:00:00,360,Airbus A350,310,270,296000.0,194000.0
165,RT0165,Delhi,Bangkok,2025-06-15 00:00:00,420,Boeing 787,150,130,297500.0,195000.0
166,RT0166,Toronto,Berlin,2025-06-16 00:00:00,480,Boeing 777,190,165,299000.0,196000.0
167,RT0167,Dubai,Tokyo,2025-06-17 00:00:00,540,Airbus A350,230,200,300500.0,197000.0
168,RT0168,Singapore,Mumbai,2025-06-18 00:00:00,600,Boeing 737,270,235,302000.0,198000.0
169,RT0169,Paris,New York,2025-06-19 00:00:00,660,Boeing 787,310,270,303500.0,199000.0
170,RT0170,Berlin,Delhi,2025-06-20 00:00:00,120,Airbus A320,150,130,305000.0,200000.0
171,RT0171,New York,London,2025-06-21 00:00:00,180,Boeing 777,190,165,306500.0,201000.0
172,RT0172,Mumbai,Dubai,2025-06-22 00:00:00,240,Airbus A320,230,200,308000.0,202000.0
173,RT0173,London,Paris,2025-06-23 00:00:00,300,Boeing 737,270,235,309500.0,203000.0
174,RT0174,Sydney,Singapore,2025-06-24 00:00:00,360,Airbus A350,310,270,311000.0,204000.0
175,RT0175,Delhi,Bangkok,2025-06-25 00:00:00,420,Boeing 787,150,130,312500.0,205000.0
176,RT0176,Toronto,Berlin,2025-06-26 00:00:00,480,Boeing 777,190,165,314000.0,206000.0
177,RT0177,Dubai,Tokyo,2025-06-27 00:00:00,540,Airbus A350,230,200,315500.0,207000.0
178,RT0178,Singapore,Mumbai,2025-06-28 00:00:00,600,Boeing 737,270,235,317000.0,208000.0
179,RT0179,Paris,New York,2025-06-29 00:00:00,660,Boeing 787,310,270,318500.0,209000.0
180,RT0180,Berlin,Delhi,2025-06-30 00:00:00,120,Airbus A320,150,130,320000.0,210000.0
181,RT0181,New York,London,2025-07-01 00:00:00,180,Boeing 777,190,165,321500.0,211000.0
182,RT0182,Mumbai,Dubai,2025-07-02 00:00:00,240,Airbus A320,230,200,323000.0,212000.0
183,RT0183,London,Paris,2025-07-03 00:00:00,300,Boeing 737,270,235,324500.0,213000.0
184,RT0184,Sydney,Singapore,2025-07-04 00:00:00,360,Airbus A350,310,270,326000.0,214000.0
185,RT0185,Delhi,Bangkok,2025-07-05 00:00:00,420,Boeing 787,150,130,327500.0,215000.0
186,RT0186,Toronto,Berlin,2025-07-06 00:00:00,480,Boeing 777,190,165,329000.0,216000.0
187,RT0187,Dubai,Tokyo,2025-07-07 00:00:00,540,Airbus A350,230,200,330500.0,217000.0
188,RT0188,Singapore,Mumbai,2025-07-08 00:00:00,600,Boeing 737,270,235,332000.0,218000.0
189,RT0189,Paris,New York,2025-07-09 00:00:00,660,Boeing 787,310,270,333500.0,219000.0
190,RT0190,Berlin,Delhi,2025-07-10 00:00:00,120,Airbus A320,150,130,335000.0,220000.0
191,RT0191,New York,London,2025-07-11 00:00:00,180,Boeing 777,190,165,336500.0,221000.0
192,RT0192,Mumbai,Dubai,2025-07-12 00:00:00,240,Airbus A320,230,200,338000.0,222000.0
193,RT0193,London,Paris,2025-07-13 00:00:00,300,Boeing 737,270,235,339500.0,223000.0
194,RT0194,Sydney,Singapore,2025-07-14 00:00:00,360,Airbus A350,310,270,341000.0,224000.0
195,RT0195,Delhi,Bangkok,2025-07-15 00:00:00,420,Boeing 787,150,130,342500.0,225000.0
196,RT0196,Toronto,Berlin,2025-07-16 00:00:00,480,Boeing 777,190,165,344000.0,226000.0
197,RT0197,Dubai,Tokyo,2025-07-17 00:00:00,540,Airbus A350,230,200,345500.0,227000.0
198,RT0198,Singapore,Mumbai,2025-07-18 00:00:00,600,Boeing 737,270,235,347000.0,228000.0
199,RT0199,Paris,New York,2025-07-19 00:00:00,660,Boeing 787,310,270,348500.0,229000.0
200,RT0200,Berlin,Delhi,2025-07-20 00:00:00,120,Airbus A320,150,130,350000.0,230000.0
